longitude,latitude,roads_centroids
-2.011795569230491,48.60985260691478,-38.288631490529582
-2.0120158162138457,48.612096079997535,-26.734356987742732
-2.012236082528594,48.61433955084611,-20.123737412828032
-2.012456368177281,48.61658301945698,-18.737375156159345
-2.0126766731624457,48.618826485826645,-20.192341978695183
-2.0128969974866338,48.6210699499516,-24.097126941456818
-2.0131173411523835,48.623313411828306,-22.532966338191635
-2.013337704162244,48.62555687145327,-18.922277941655938
-2.0135580865187563,48.627800328822985,-17.933887142546631
-2.0137784882244643,48.6300437839339,-16.864882727620476
-2.013998909281914,48.63228723678252,-16.807512877710284
-2.0142193496936494,48.63453068736534,-17.055988689213578
-2.0144398094622167,48.636774135678834,-16.583412095730722
-2.0146602885901626,48.63901758171948,-16.606350755646393
-2.014880787080032,48.64126102548377,-18.104378677779774
-2.015101304934373,48.643504466968196,-19.809845918392718
-2.015321842155732,48.645747906169234,-19.864578107033758
-2.0155423987466596,48.64799134308335,-18.485435813385507
-2.015762974709701,48.650234777707055,-18.575545133437323
-2.015983570047406,48.652478210036826,-17.318355701084741
-2.0162041847623255,48.65472164006915,-21.078274325945884
-2.0164248188570055,48.65696506780049,-30.38376091589129
-2.0166454723340013,48.65920849322735,-44.893607894797327
-2.016866145195857,48.66145191634622,-47.138098386434422
-2.01708683744513,48.66369533715355,-47.122476475440024
-2.0173075490843675,48.66593875564586,-126.24121680947664
-2.017528280116122,48.668182171819595,-155.7981210518858
-2.0177490305429475,48.670425585671275,-48.399584779240783
-2.017969800367395,48.672668997197356,-49.244146942898183
-2.0181905895920194,48.67491240639434,-67.495756274381137
-2.0184113982193725,48.67715581325868,-81.656213314885917
-2.0186322262520098,48.679399217786894,-94.861730595239237
-2.0188530736924863,48.68164261997543,-109.63607679056702
-2.0073121990670146,48.59878117361142,-19.295084755759632
-2.0075322016580652,48.601024664099505,-18.524371389443424
-2.0077522235549536,48.603268152371314,-19.599386077711976
-2.007972264760216,48.60551163842332,-21.998216673969317
-2.0081923252763914,48.607755122252016,-23.108709413281467
-2.0084124051060175,48.60999860385389,-28.833208403142432
-2.008632504251635,48.61224208322542,-24.880312375848856
-2.0088526227157817,48.6144855603631,-19.912813755126518
-2.0090727605009984,48.61672903526341,-17.750255955232582
-2.0092929176098258,48.61897250792284,-18.167126352477812
-2.009513094044804,48.62121597833787,-18.065397554324598
-2.0097332898084734,48.623459446504995,-18.271020379064026
