longitude,latitude,light_pollution
-2.0187073538592344,48.645601710047465,65.0954
-2.0189280584913996,48.64784514066337,65.1919
-2.019148782508571,48.65008856898853,39.7939
-2.0193695259133015,48.65233199501944,19.8581
-2.019590288708139,48.654575418752565,19.8581
-2.0198110708956367,48.656818840184386,2.24039
-2.0200318724783455,48.6590622593114,2.24039
-2.0202526934588185,48.66130567613008,1.2078
-2.0204735338396076,48.66354909063692,1.2078
-2.0206943936232657,48.66579250282838,1.00463
-2.020915272812348,48.66803591270098,1.00463
-2.0211361714094065,48.67027932025117,0.737114
-2.0213570894169957,48.672522725475446,0.737114
-2.0215780268376724,48.67476612837028,0.665173
-2.02179898367399,48.677009528932174,0.665173
-2.022019959928506,48.67925292715759,0.483254
-2.0222409556037753,48.681496323043014,0.467123
-2.0106946241957293,48.598635208111325,1.66546
-2.010914774560214,48.600878692312264,1.66546
-2.0111349442433935,48.603122174296594,1.78913
-2.0113551332478057,48.6053656540608,1.78913
-2.011575341575992,48.607609131601365,1.38309
-2.011795569230491,48.60985260691478,1.38309
-2.0120158162138457,48.612096079997535,1.74665
-2.012236082528594,48.61433955084611,1.74665
-2.012456368177281,48.61658301945698,7.27078
-2.0126766731624457,48.618826485826645,17.6297
-2.0128969974866338,48.6210699499516,17.6297
-2.0131173411523835,48.623313411828306,22.1959
-2.013337704162244,48.62555687145327,22.1959
-2.0135580865187563,48.627800328822985,28.476
-2.0137784882244643,48.6300437839339,28.476
-2.013998909281914,48.63228723678252,39.7948
-2.0142193496936494,48.63453068736534,39.7948
-2.0144398094622167,48.636774135678834,52.502
-2.0146602885901626,48.63901758171948,53.9744
-2.014880787080032,48.64126102548377,72.9849
-2.015101304934373,48.643504466968196,72.9849
-2.015321842155732,48.645747906169234,65.0954
-2.0155423987466596,48.64799134308335,42.217
-2.015762974709701,48.650234777707055,42.217
-2.015983570047406,48.652478210036826,31.2704
-2.0162041847623255,48.65472164006915,31.2704
-2.0164248188570055,48.65696506780049,2.17019
-2.0166454723340013,48.65920849322735,2.17019
-2.016866145195857,48.66145191634622,1.3495
-2.01708683744513,48.66369533715355,1.3495
-2.0173075490843675,48.66593875564586,1.1781
-2.017528280116122,48.668182171819595,1.1781
-2.0177490305429475,48.670425585671275,0.757336
-2.017969800367395,48.672668997197356,0.757336
-2.0181905895920194,48.67491240639434,0.601453
-2.0184113982193725,48.67715581325868,0.525555
-2.0186322262520098,48.679399217786894,0.525555
-2.0188530736924863,48.68164261997543,0.467123
-2.0073121990670146,48.59878117361142,2.13052
-2.0075322016580652,48.601024664099505,2.13052
-2.0077522235549536,48.603268152371314,2.4168
-2.007972264760216,48.60551163842332,2.4168
-2.0081923252763914,48.607755122252016,2.19768
-2.0084124051060175,48.60999860385389,2.19768
